Nome_tribunal,Nome_orgao,Ano,Mes,Processos,Cod_ultima_classe,Nome_ultima_classe,Cod_assuntos,Nome_formato,Cod_orgao,Status,dias_antiguidade,descricao,Data
TSE,GABINETE STF1,2024,5,0607872-71.2024.6.00.0000,12633,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ELEITORAIS,12725,Eletronico,82599,Novo,,Regularizacao de Contas Eleitorais,14/05/2024
TSE,GABINETE STF2,2024,9,0600192-45.2024.6.22.0025,11549,RECURSO ESPECIAL ELEITORAL,11616,Eletronico,82600,Novo,,Impugnacao ao Registro de Candidatura,23/09/2024
TSE,GABINETE STF2,2024,9,0600192-45.2024.6.22.0025,11549,RECURSO ESPECIAL ELEITORAL,11638,Eletronico,82600,Novo,,Cargo - Vereador,23/09/2024
TSE,GABINETE STF1,2024,5,0603647-08.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,14/05/2024
TSE,GABINETE STF1,2024,5,0612187-45.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,15/05/2024
TSE,GABINETE STJ1,2024,9,0600009-32.2024.6.14.0014,12626,AGRAVO EM RECURSO ESPECIAL ELEITORAL,12635,Eletronico,82602,Novo,,Propaganda Politica - Propaganda Eleitoral - Divulgacao de Noticia  Sabidamente Falsa,29/09/2024
TSE,GABINETE STF1,2024,5,0602573-16.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,14/05/2024
TSE,GABINETE STF1,2024,5,0603556-15.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,14/05/2024
TSE,GABINETE STF1,2024,5,0610654-51.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,15/05/2024
TSE,GABINETE STF3,2024,8,0601667-13.2022.6.03.0000,11550,RECURSO ORDINARIO ELEITORAL,11721,Eletronico,82601,Novo,,Captacao Ilicita de Sufragio,19/08/2024
TSE,GABINETE STF3,2024,8,0601667-13.2022.6.03.0000,11550,RECURSO ORDINARIO ELEITORAL,11718,Eletronico,82601,Novo,,Abuso - De Poder Economico,19/08/2024
TSE,GABINETE STF3,2024,8,0601667-13.2022.6.03.0000,11550,RECURSO ORDINARIO ELEITORAL,11630,Eletronico,82601,Novo,,Cargo - Deputado Estadual,19/08/2024
TSE,GABINETE STF1,2024,5,0606830-84.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,14/05/2024
TSE,GABINETE STF1,2024,5,0608471-10.2024.6.00.0000,12633,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ELEITORAIS,12725,Eletronico,82599,Novo,,Regularizacao de Contas Eleitorais,14/05/2024
TSE,GABINETE STF1,2024,5,0601399-69.2024.6.00.0000,12633,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ELEITORAIS,12725,Eletronico,82599,Novo,,Regularizacao de Contas Eleitorais,14/05/2024
TSE,GABINETE JURISTA 2,2024,9,0600114-65.2024.6.15.0051,11549,RECURSO ESPECIAL ELEITORAL,11616,Eletronico,82605,Novo,,Impugnacao ao Registro de Candidatura,29/09/2024
TSE,GABINETE JURISTA 2,2024,9,0600114-65.2024.6.15.0051,11549,RECURSO ESPECIAL ELEITORAL,11600,Eletronico,82605,Novo,,Inelegibilidade - Desincompatibilizacao,29/09/2024
TSE,GABINETE JURISTA 2,2024,9,0600114-65.2024.6.15.0051,11549,RECURSO ESPECIAL ELEITORAL,11638,Eletronico,82605,Novo,,Cargo - Vereador,29/09/2024
TSE,GABINETE STF1,2024,5,0605927-49.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,14/05/2024
TSE,GABINETE STF1,2024,5,0603280-81.2024.6.00.0000,12631,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ANUAL,12726,Eletronico,82599,Novo,,Regularizacao de Contas Anuais,14/05/2024
TSE,GABINETE STJ1,2024,1,0601389-12.2022.6.03.0000,11549,RECURSO ESPECIAL ELEITORAL,11696,Eletronico,82602,Novo,,Contas - Aprovacao das Contas com Ressalvas,29/01/2024
TSE,GABINETE STJ1,2024,1,0601389-12.2022.6.03.0000,11549,RECURSO ESPECIAL ELEITORAL,12046,Eletronico,82602,Novo,,Prestacao de Contas - De Candidato,29/01/2024
TSE,GABINETE STJ1,2024,1,0601389-12.2022.6.03.0000,11549,RECURSO ESPECIAL ELEITORAL,11631,Eletronico,82602,Novo,,Cargo - Deputado Federal,29/01/2024
TSE,GABINETE STF1,2024,5,0607859-72.2024.6.00.0000,12633,REQUERIMENTO DE REGULARIZACAO DE OMISSAO DE PRESTACAO DE CONTAS ELEITORAIS,12725,Eletronico,82599,Novo,,Regularizacao de Contas Eleitorais,14/05/2024
TSE,GABINETE STJ2,2024,9,0600218-19.2024.6.02.0019,11549,RECURSO ESPECIAL ELEITORAL,11667,Eletronico,82603,Novo,,Propaganda Politica - Propaganda Eleitoral - Extemporanea/Antecipada,23/09/2024
TSE,GABINETE STF3,2024,9,0600181-82.2024.6.11.0005,11549,RECURSO ESPECIAL ELEITORAL,11616,Eletronico,82601,Novo,,Impugnacao ao Registro de Candidatura,22/09/2024
TSE,GABINETE STF3,2024,9,0600181-82.2024.6.11.0005,11549,RECURSO ESPECIAL ELEITORAL,11589,Eletronico,82601,Novo,,Condicao de Elegibilidade - Filiacao Partidaria,22/09/2024
