tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,11,5015824-02.2022.8.24.0000,11881,AGRAVO EM RECURSO ESPECIAL,12160.0,2024-11-12,Eletronico,12728,Novo,,,,12160.0,Requerimento de Reintegracao de Posse
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,11,5015824-02.2022.8.24.0000,11881,AGRAVO EM RECURSO ESPECIAL,10446.0,2024-11-12,Eletronico,12728,Novo,,,,10446.0,Imissao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,1,5001481-30.2021.8.21.2001,1032,RECURSO ESPECIAL,11811.0,2024-01-26,Eletronico,12728,Novo,,,,11811.0,Praticas Abusivas
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0743979-96.2023.8.07.0000,11881,AGRAVO EM RECURSO ESPECIAL,9196.0,2024-08-21,Eletronico,12728,Novo,,,,9196.0,Liminar 
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0743979-96.2023.8.07.0000,11881,AGRAVO EM RECURSO ESPECIAL,9597.0,2024-08-21,Eletronico,12728,Novo,,,,9597.0,Seguro
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0743979-96.2023.8.07.0000,11881,AGRAVO EM RECURSO ESPECIAL,7703.0,2024-08-21,Eletronico,12728,Novo,,,,7703.0,Pagamento
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,2,2136607-83.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,10011.0,2024-02-08,Eletronico,12728,Novo,,,,10011.0,Improbidade Administrativa
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,7,1108837-31.2020.8.26.0100,11881,AGRAVO EM RECURSO ESPECIAL,13065.0,2024-07-05,Eletronico,12728,Novo,,,,13065.0,Arbitragem 
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,7,1108837-31.2020.8.26.0100,11881,AGRAVO EM RECURSO ESPECIAL,7774.0,2024-07-05,Eletronico,12728,Novo,,,,7774.0,Servicos Profissionais
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,4,0803898-53.2023.8.20.0000,11881,AGRAVO EM RECURSO ESPECIAL,10486.0,2024-04-22,Eletronico,12728,Novo,,,,10486.0,Uso
