tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,1,7000005-70.2024.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11207,2024-01-10,Eletronico,32713,Novo,,,,11207,"Trafico, posse ou uso de entorpecente ou substancia de efeito similar"
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,1,7000005-70.2024.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11103,2024-01-10,Eletronico,32713,Novo,,,,11103,Prescricao
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000040-30.2024.7.00.0000,417,APELACAO CRIMINAL,10952,2024-02-02,Eletronico,32713,Novo,,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000040-30.2024.7.00.0000,417,APELACAO CRIMINAL,10641,2024-02-02,Eletronico,32713,Novo,,,,10641,Penas do Codigo Penal Militar
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000040-30.2024.7.00.0000,417,APELACAO CRIMINAL,11135,2024-02-02,Eletronico,32713,Novo,,,,11135,Abandono de posto
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000068-95.2024.7.00.0000,417,APELACAO CRIMINAL,11090,2024-02-14,Eletronico,32713,Novo,,,,11090,Principio da Insignificancia
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000068-95.2024.7.00.0000,417,APELACAO CRIMINAL,10940,2024-02-14,Eletronico,32713,Novo,,,,10940,Depoimento
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000068-95.2024.7.00.0000,417,APELACAO CRIMINAL,11207,2024-02-14,Eletronico,32713,Novo,,,,11207,"Trafico, posse ou uso de entorpecente ou substancia de efeito similar"
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000068-95.2024.7.00.0000,417,APELACAO CRIMINAL,8919,2024-02-14,Eletronico,32713,Novo,,,,8919,Nulidade
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000076-72.2024.7.00.0000,417,APELACAO CRIMINAL,10952,2024-02-15,Eletronico,32713,Novo,,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000076-72.2024.7.00.0000,417,APELACAO CRIMINAL,11207,2024-02-15,Eletronico,32713,Novo,,,,11207,"Trafico, posse ou uso de entorpecente ou substancia de efeito similar"
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000076-72.2024.7.00.0000,417,APELACAO CRIMINAL,10523,2024-02-15,Eletronico,32713,Novo,,,,10523,Despenalizacao / Descriminalizacao
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000109-62.2024.7.00.0000,417,APELACAO CRIMINAL,11352,2024-02-27,Eletronico,32713,Novo,,,,11352,Corrupcao ativa
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,2,7000109-62.2024.7.00.0000,417,APELACAO CRIMINAL,11353,2024-02-27,Eletronico,32713,Novo,,,,11353,Corrupcao passiva
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,3,7000149-44.2024.7.00.0000,417,APELACAO CRIMINAL,11167,2024-03-12,Eletronico,32713,Novo,,,,11167,Estelionato
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,4,7000228-23.2024.7.00.0000,417,APELACAO CRIMINAL,10952,2024-04-08,Eletronico,32713,Novo,,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,4,7000228-23.2024.7.00.0000,417,APELACAO CRIMINAL,11307,2024-04-08,Eletronico,32713,Novo,,,,11307,Desrespeito a superior 
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,4,7000228-23.2024.7.00.0000,417,APELACAO CRIMINAL,11172,2024-04-08,Eletronico,32713,Novo,,,,11172,Dano qualificado
STM,SUP,GABINETE DO MINISTRO ARTUR VIDIGAL DE OLIVEIRA,2024,4,7000228-23.2024.7.00.0000,417,APELACAO CRIMINAL,10940,2024-04-08,Eletronico,32713,Novo,,,,10940,Depoimento
