Tribunal,Grau,Nome_Orgao,Ano,Mes,Processo,Codigo_da_Ultima_classe,Nome_da_Ultima_classe,Codigos_classes,Codigos_assuntos,Data_de_Referencia,Formato,Codigo_Orgao,Status,Data_de_inicio,Data_da_ultima_movimentacao,Dias_de_antiguidade,Nome_orgao,Nome_da_ultima_classe,Codigos_Classes,Codigo_orgao
TST,SUP,GABINETE DO MINISTRO LUIZ JOSÃ DEZENA DA SILVA,2024,4,1000996-61.2022.5.02.0605,1002,AGRAVO DE INSTRUMENTO EM RECURSO DE REVISTA,{1002},"{13184,13776,13922,14018,13875,13895,13769,13772,13919}",2024-04-29,EletrÃ´nico,79538.0,Novo,,,,,,,
TST,SUP,GABINETE DO MINISTRO HUGO CARLOS SCHEUERMANN,2024,5,1001274-17.2021.5.02.0017,11882,RECURSO DE REVISTA COM AGRAVO,{11882},"{13778,13780,13876,13976,9098,13962,13628,14012}",2024-05-14,EletrÃ´nico,45216.0,Novo,,,,,,,
TST,SUP,GABINETE DO MINISTRO EVANDRO PEREIRA VALADÃO LOPES,2024,5,0000359-90.2020.5.09.0965,11882,RECURSO DE REVISTA COM AGRAVO,{11882},"{13888,13765,13190,13767,13863,13864,13769,8843,9196,9517,13773,13998,13999,14000,13970,14036,13719,13850,10685,10655}",2024-05-17,EletrÃ´nico,80846.0,Novo,,,,,,,
TST,SUP,TRIBUNAL SUPERIOR DO TRABALHO,2025,1,0010106-27.2024.5.03.0113,11882,RECURSO DE REVISTA COM AGRAVO,{11882},{13722},2025-01-24,EletrÃ´nico,13221.0,Novo,,,,,,,
TST,SUP,TRIBUNAL SUPERIOR DO TRABALHO,2024,2,sigiloso(605340083),1689,EMBARGOS DE DECLARAÃÃO CÃ?VEL,"{1689,1002,1006}","{13863,13864,13992,13769,14000,13745,13970,13811,13237,13749,13944,14040,14010,14043}",2024-02-23,EletrÃ´nico,13221.0,Novo,,,,,,,
TST,SUP,TRIBUNAL SUPERIOR DO TRABALHO,2024,4,0000112-27.2023.5.21.0042,1002,AGRAVO DE INSTRUMENTO EM RECURSO DE REVISTA,{1002},"{13885,12995,13875}",2024-04-18,EletrÃ´nico,13221.0,Novo,,,,,,,
TST,SUP,TRIBUNAL SUPERIOR DO TRABALHO,2024,2,0000527-36.2021.5.05.0006,1000,AGRAVO,"{1000,1689,1002}","{13233,13914}",2024-02-15,EletrÃ´nico,13221.0,Novo,,,,,,,
TST,SUP,GABINETE DO MINISTRO ALBERTO BASTOS BALAZEIRO,2024,2,0020455-83.2021.5.04.0334,1002,AGRAVO DE INSTRUMENTO EM RECURSO DE REVISTA,"{11882,1002}","{14000,13969,13970,14051,13749,13750,14041,13787,13998,13999}",2024-02-05,EletrÃ´nico,84129.0,Novo,,,,,,,
TST,SUP,TRIBUNAL SUPERIOR DO TRABALHO,2024,7,0020505-05.2021.5.04.0013,11882,RECURSO DE REVISTA COM AGRAVO,{11882},"{13858,13796,13799,13800,13928,13769,13771,13931,13772,13390,13774,13806,13998,13939,13719,14009,14010,13787}",2024-07-31,EletrÃ´nico,13221.0,Novo,,,,,,,
TST,SUP,TRIBUNAL SUPERIOR DO TRABALHO,2024,5,0000600-18.2023.5.13.0005,1002,AGRAVO DE INSTRUMENTO EM RECURSO DE REVISTA,{1002},{12963},2024-05-22,EletrÃ´nico,13221.0,Novo,,,,,,,
